Geographic name,Geographic area type,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Olds,Small population centre,Alta.,"8,983","8,944",0.4,"3,997","3,722",9.51,944.6
Peace River,Small population centre,Alta.,"4,264","4,348r",-1.9,"2,046","1,723",5.06,843.4
Penhold,Small population centre,Alta.,"3,359","3,210r",4.6,"1,353","1,284",1.65,"2,037.20"
Picture Butte,Small population centre,Alta.,"1,808","1,700",6.4,686,646,1.95,926.1
Pincher Creek,Small population centre,Alta.,"3,463","3,523",-1.7,"1,607","1,473",4.06,853.7
Ponoka,Small population centre,Alta.,"7,032","6,899",1.9,"3,193","2,959",5.61,"1,253.60"
Provost,Small population centre,Alta.,"1,834","1,945",-5.7,824,732,2.09,876.5
Raymond,Small population centre,Alta.,"3,942","3,553r",10.9,"1,305","1,256",3.92,"1,005.90"
Red Deer,Medium population centre,Alta.,"99,846","99,773r",0.1,"42,979","40,133",65.93,"1,514.40"
Redcliff,Small population centre,Alta.,"5,385","5,474",-1.6,"2,206","2,117",7.39,728.3
Redwater,Small population centre,Alta.,"1,802","1,591",13.3,845,773,2.01,897.4
Rimbey,Small population centre,Alta.,"2,258","2,349r",-3.9,"1,065",973,3.63,621.8
Rocky Mountain House,Small population centre,Alta.,"6,518","6,429",1.4,"2,972","2,592",7.47,872.8
Sexsmith,Small population centre,Alta.,"2,275","2,461",-7.6,862,790,1.83,"1,244.10"
Slave Lake,Small population centre,Alta.,"6,542","6,155",6.3,"2,575","2,312",6.63,987.4
Springbrook,Small population centre,Alta.,"1,534","1,502",2.1,604,579,2.19,701.8
Spruce Grove,Medium population centre,Alta.,"39,348","36,279r",8.5,"15,518","15,009",29.76,"1,322.40"
St. Paul,Small population centre,Alta.,"5,685","5,728",-0.8,"2,390","2,214",5.03,"1,130.50"
Stettler,Small population centre,Alta.,"5,595","5,872r",-4.7,"2,513","2,328",7.46,749.9
Stirling,Small population centre,Alta.,"1,134",938r,20.9,368,349,2.03,558.1
Stony Plain,Small population centre,Alta.,"17,253","16,416r",5.1,"7,136","6,802",17.73,973.3
Strathmore,Small population centre,Alta.,"13,851","13,592",1.9,"5,585","5,355",9.46,"1,463.50"
Sundre,Small population centre,Alta.,"1,781","1,866",-4.6,803,752,2.37,750.9
Swan Hills,Small population centre,Alta.,"1,191","1,275",-6.6,700,505,2.39,497.8
Sylvan Lake,Small population centre,Alta.,"16,142","14,977r",7.8,"7,267","6,452",10.49,"1,539.30"
Taber,Small population centre,Alta.,"8,978","8,558r",4.9,"3,521","3,387",15.69,572.1
Three Hills,Small population centre,Alta.,"2,902","3,078",-5.7,"1,183","1,110",3.14,924.4
Tofield,Small population centre,Alta.,"1,811","1,854",-2.3,804,748,1.22,"1,483.10"
Turner Valley,Small population centre,Alta.,"2,409","2,373r",1.5,"1,025",965,3.3,730
Two Hills,Small population centre,Alta.,"1,379","1,291r",6.8,510,432,1.25,"1,099.90"
Valleyview,Small population centre,Alta.,"1,280","1,421",-9.9,599,500,1.55,824.6
Vauxhall,Small population centre,Alta.,"1,286","1,222",5.2,457,436,2.71,474.7
Vegreville,Small population centre,Alta.,"5,383","5,436",-1,"2,614","2,351",5.05,"1,065.60"
Vermilion,Small population centre,Alta.,"3,552","3,697r",-3.9,"1,731","1,488",3.66,971.4
Vulcan,Small population centre,Alta.,"1,558","1,680",-7.3,755,699,1.7,913.9
Wainwright,Small population centre,Alta.,"6,461","6,153",5,"2,848","2,602",5.08,"1,270.60"
Wembley,Small population centre,Alta.,"1,432","1,516",-5.5,616,550,2.2,651.5
Westlake,Small population centre,Alta.,"2,040","1,363",49.7,654,635,3.27,624.7
Westlock,Small population centre,Alta.,"4,820","4,957r",-2.8,"2,333","2,104",5.26,915.9
Wetaskiwin,Small population centre,Alta.,"12,438","12,491r",-0.4,"5,584","5,136",12.11,"1,026.90"
Whitecourt,Small population centre,Alta.,"9,195","9,515",-3.4,"4,013","3,578",10.22,899.3
